timestamp,datapath_id,flow_id,ip_src,tp_src,ip_dst,tp_dst,ip_proto,icmp_code,icmp_type,flow_duration_sec,flow_duration_nsec,idle_timeout,hard_timeout,flags,packet_count,byte_count,packet_count_per_second,packet_count_per_nsecond,byte_count_per_second,byte_count_per_nsecond,label
1733781947.670689,1,10.0.0.63534610.0.0.150506,10.0.0.6,35346,10.0.0.1,5050,6,-1,-1,16,544000000,20,100,0,530140,23626778204,33133.75,0.0009745220588235,1476673637.75,43.43157758088236,0
1733781947.670689,1,10.0.0.64470910.0.0.1505117,10.0.0.6,44709,10.0.0.1,5051,17,-1,-1,6,502000000,20,100,0,539,814968,89.83333333333333,1.0737051792828686e-06,135828.0,0.0016234422310756,0
1733781957.669453,4,10.0.0.1505010.0.0.17416506,10.0.0.1,5050,10.0.0.17,41650,6,-1,-1,6,388000000,20,100,0,129024,8515852,21504.0,0.0003325360824742,1419308.6666666667,0.0219480721649484,0
1733781957.669453,4,10.0.0.13505010.0.0.6416501,10.0.0.13,5050,10.0.0.6,41650,1,0,0,26,517000000,20,100,0,25,2450,0.9615384615384616,4.8355899419729215e-08,94.23076923076924,4.738878143133462e-06,0
1733781957.669453,4,10.0.0.174165010.0.0.150506,10.0.0.17,41650,10.0.0.1,5050,6,0,0,6,406000000,20,100,0,230000,10223656644,38333.333333333336,0.0005665024630541,1703942774.0,25.18142030541872,0
1733781957.669453,4,10.0.0.64165010.0.0.1350501,10.0.0.6,41650,10.0.0.13,5050,1,0,8,26,526000000,20,100,0,25,2450,0.9615384615384616,4.752851711026616e-08,94.23076923076924,4.657794676806083e-06,0
1733781957.674714,2,10.0.0.1505010.0.0.17416506,10.0.0.1,5050,10.0.0.17,41650,6,-1,-1,6,395000000,20,100,0,129024,8515852,21504.0,0.0003266430379746,1419308.6666666667,0.0215591189873417,0
1733781957.674714,2,10.0.0.1505010.0.0.6353466,10.0.0.1,5050,10.0.0.6,35346,6,-1,-1,26,533000000,20,100,0,252201,16645882,9700.03846153846,0.0004731726078799,640226.2307692308,0.0312305478424015,0
1733781957.674714,2,10.0.0.18010.0.0.6492806,10.0.0.1,80,10.0.0.6,49280,6,-1,-1,6,467000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1733781957.674714,2,10.0.0.18010.0.0.6492946,10.0.0.1,80,10.0.0.6,49294,6,-1,-1,6,451000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1733781957.674714,2,10.0.0.1505110.0.0.64470917,10.0.0.1,5051,10.0.0.6,44709,17,-1,-1,6,484000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1733781957.674714,2,10.0.0.13505110.0.0.6447091,10.0.0.13,5051,10.0.0.6,44709,1,0,0,26,513000000,20,100,0,25,2450,0.9615384615384616,4.8732943469785584e-08,94.23076923076924,4.775828460038986e-06,0
1733781957.674714,2,10.0.0.174165010.0.0.150506,10.0.0.17,41650,10.0.0.1,5050,6,0,0,6,404000000,20,100,0,229999,10223591418,38333.16666666666,0.0005693044554455,1703931903.0,25.305919351485148,0
1733781957.674714,2,10.0.0.63534610.0.0.150506,10.0.0.6,35346,10.0.0.1,5050,6,0,0,26,550000000,20,100,0,530140,23626778204,20390.0,0.0009638909090909,908722238.6153846,42.95777855272727,0
1733781957.674714,2,10.0.0.64928010.0.0.1806,10.0.0.6,49280,10.0.0.1,80,6,0,0,6,476000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1733781957.674714,2,10.0.0.64929410.0.0.1806,10.0.0.6,49294,10.0.0.1,80,6,0,0,6,459000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1733781957.674714,2,10.0.0.64470910.0.0.1505117,10.0.0.6,44709,10.0.0.1,5051,17,0,0,16,507000000,20,100,0,894,1351728,55.875,1.7633136094674555e-06,84483.0,0.0026661301775147,0
1733781957.674714,2,10.0.0.64470910.0.0.1350511,10.0.0.6,44709,10.0.0.13,5051,1,0,8,26,533000000,20,100,0,25,2450,0.9615384615384616,4.690431519699813e-08,94.23076923076924,4.596622889305816e-06,0
1733781957.675012,5,10.0.0.1505010.0.0.17416506,10.0.0.1,5050,10.0.0.17,41650,6,-1,-1,6,385000000,20,100,0,129024,8515852,21504.0,0.0003351272727272,1419308.6666666667,0.0221190961038961,0
1733781957.675012,5,10.0.0.13505010.0.0.17416501,10.0.0.13,5050,10.0.0.17,41650,1,0,0,6,424000000,20,100,0,6,588,1.0,1.4150943396226416e-08,98.0,1.3867924528301886e-06,0
1733781957.675012,5,10.0.0.13505010.0.0.6416501,10.0.0.13,5050,10.0.0.6,41650,1,0,0,26,520000000,20,100,0,25,2450,0.9615384615384616,4.8076923076923085e-08,94.23076923076924,4.711538461538462e-06,0
1733781957.675012,5,10.0.0.174165010.0.0.150506,10.0.0.17,41650,10.0.0.1,5050,6,0,0,6,409000000,20,100,0,230000,10223656644,38333.333333333336,0.000562347188264,1703942774.0,24.99671551100245,0
1733781957.675012,5,10.0.0.174165010.0.0.1350501,10.0.0.17,41650,10.0.0.13,5050,1,0,8,6,428000000,20,100,0,6,588,1.0,1.4018691588785046e-08,98.0,1.3738317757009346e-06,0
1733781957.675012,5,10.0.0.64165010.0.0.1350501,10.0.0.6,41650,10.0.0.13,5050,1,0,8,26,523000000,20,100,0,25,2450,0.9615384615384616,4.780114722753346e-08,94.23076923076924,4.684512428298279e-06,0
1733781957.675279,1,10.0.0.1505010.0.0.17416506,10.0.0.1,5050,10.0.0.17,41650,6,-1,-1,6,397000000,20,100,0,129024,8515852,21504.0,0.0003249974811083,1419308.6666666667,0.0214505088161209,0
1733781957.675279,1,10.0.0.1505010.0.0.6353466,10.0.0.1,5050,10.0.0.6,35346,6,-1,-1,26,542000000,20,100,0,252201,16645882,9700.03846153846,0.0004653154981549,640226.2307692308,0.030711959409594,0
1733781957.675279,1,10.0.0.18010.0.0.6492806,10.0.0.1,80,10.0.0.6,49280,6,-1,-1,6,469000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1733781957.675279,1,10.0.0.18010.0.0.6492946,10.0.0.1,80,10.0.0.6,49294,6,-1,-1,6,452000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1733781957.675279,1,10.0.0.1505110.0.0.64470917,10.0.0.1,5051,10.0.0.6,44709,17,-1,-1,6,485000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1733781957.675279,1,10.0.0.174165010.0.0.150506,10.0.0.17,41650,10.0.0.1,5050,6,-1,-1,6,400000000,20,100,0,230000,10223656644,38333.333333333336,0.000575,1703942774.0,25.55914161,0
1733781957.675279,1,10.0.0.63534610.0.0.150506,10.0.0.6,35346,10.0.0.1,5050,6,-1,-1,26,545000000,20,100,0,530140,23626778204,20390.0,0.0009727339449541,908722238.6153846,43.351886612844034,0
1733781957.675279,1,10.0.0.64928010.0.0.1806,10.0.0.6,49280,10.0.0.1,80,6,-1,-1,6,471000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1733781957.675279,1,10.0.0.64929410.0.0.1806,10.0.0.6,49294,10.0.0.1,80,6,-1,-1,6,454000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1733781957.675279,1,10.0.0.64470910.0.0.1505117,10.0.0.6,44709,10.0.0.1,5051,17,-1,-1,16,503000000,20,100,0,894,1351728,55.875,1.7773359840954274e-06,84483.0,0.0026873320079522,0
1733781957.675454,3,10.0.0.1505010.0.0.17416506,10.0.0.1,5050,10.0.0.17,41650,6,-1,-1,6,392000000,20,100,0,129024,8515852,21504.0,0.0003291428571428,1419308.6666666667,0.0217241122448979,0
1733781957.675454,3,10.0.0.13505010.0.0.6416501,10.0.0.13,5050,10.0.0.6,41650,1,0,0,26,515000000,20,100,0,25,2450,0.9615384615384616,4.854368932038836e-08,94.23076923076924,4.7572815533980585e-06,0
1733781957.675454,3,10.0.0.174165010.0.0.150506,10.0.0.17,41650,10.0.0.1,5050,6,0,0,6,404000000,20,100,0,230000,10223656644,38333.333333333336,0.000569306930693,1703942774.0,25.3060808019802,0
1733781957.675454,3,10.0.0.64165010.0.0.1350501,10.0.0.6,41650,10.0.0.13,5050,1,0,8,26,529000000,20,100,0,25,2450,0.9615384615384616,4.725897920604915e-08,94.23076923076924,4.631379962192816e-06,0
1733781957.675548,6,10.0.0.1505010.0.0.17416506,10.0.0.1,5050,10.0.0.17,41650,6,-1,-1,6,375000000,20,100,0,129024,8515852,21504.0,0.000344064,1419308.6666666667,0.0227089386666666,0
1733781957.675548,6,10.0.0.13505010.0.0.17416501,10.0.0.13,5050,10.0.0.17,41650,1,0,0,6,421000000,20,100,0,6,588,1.0,1.4251781472684085e-08,98.0,1.3966745843230404e-06,0
1733781957.675548,6,10.0.0.174165010.0.0.150506,10.0.0.17,41650,10.0.0.1,5050,6,0,0,6,413000000,20,100,0,229996,10223591220,38332.66666666666,0.0005568910411622,1703931870.0,24.75445815980629,0
1733781957.675548,6,10.0.0.174165010.0.0.1350501,10.0.0.17,41650,10.0.0.13,5050,1,0,8,6,432000000,20,100,0,6,588,1.0,1.3888888888888889e-08,98.0,1.3611111111111112e-06,0
1733781967.674587,1,10.0.0.1505010.0.0.17416506,10.0.0.1,5050,10.0.0.17,41650,6,-1,-1,16,399000000,20,100,0,225103,14857222,14068.9375,0.0005641679197994,928576.375,0.0372361453634085,0
1733781967.674587,1,10.0.0.18010.0.0.6492806,10.0.0.1,80,10.0.0.6,49280,6,-1,-1,16,471000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1733781967.674587,1,10.0.0.18010.0.0.6492946,10.0.0.1,80,10.0.0.6,49294,6,-1,-1,16,454000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1733781967.674587,1,10.0.0.1505110.0.0.64470917,10.0.0.1,5051,10.0.0.6,44709,17,-1,-1,16,487000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1733781967.674587,1,10.0.0.174165010.0.0.150506,10.0.0.17,41650,10.0.0.1,5050,6,-1,-1,16,402000000,20,100,0,388403,17196460682,24275.1875,0.0009661766169154,1074778792.625,42.777265378109455,0
1733781967.674587,1,10.0.0.175955110.0.0.1505117,10.0.0.17,59551,10.0.0.1,5051,17,-1,-1,6,340000000,20,100,0,539,814968,89.83333333333333,1.5852941176470589e-06,135828.0,0.0023969647058823,0
1733781967.674587,1,10.0.0.64928010.0.0.1806,10.0.0.6,49280,10.0.0.1,80,6,-1,-1,16,473000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1733781967.674587,1,10.0.0.64929410.0.0.1806,10.0.0.6,49294,10.0.0.1,80,6,-1,-1,16,456000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1733781967.674587,1,10.0.0.64470910.0.0.1505117,10.0.0.6,44709,10.0.0.1,5051,17,-1,-1,26,505000000,20,100,0,894,1351728,34.38461538461539,1.7702970297029704e-06,51989.53846153846,0.0026766891089108,0
1733781967.674929,4,10.0.0.1505010.0.0.17416506,10.0.0.1,5050,10.0.0.17,41650,6,-1,-1,16,389000000,20,100,0,225103,14857222,14068.9375,0.0005786709511568,928576.375,0.0381933727506426,0
1733781967.674929,4,10.0.0.13505010.0.0.6416501,10.0.0.13,5050,10.0.0.6,41650,1,0,0,36,518000000,20,100,0,35,3430,0.9722222222222222,6.756756756756757e-08,95.27777777777776,6.621621621621621e-06,0
1733781967.674929,4,10.0.0.174165010.0.0.150506,10.0.0.17,41650,10.0.0.1,5050,6,0,0,16,407000000,20,100,0,388403,17196460682,24275.1875,0.0009543071253071,1074778792.625,42.25174614742015,0
1733781967.674929,4,10.0.0.175955110.0.0.1505117,10.0.0.17,59551,10.0.0.1,5051,17,0,0,6,351000000,20,100,0,539,814968,89.83333333333333,1.5356125356125357e-06,135828.0,0.0023218461538461,0
1733781967.674929,4,10.0.0.65955110.0.0.1350511,10.0.0.6,59551,10.0.0.13,5051,1,0,8,36,527000000,20,100,0,35,3430,0.9722222222222222,6.641366223908919e-08,95.27777777777776,6.50853889943074e-06,0
1733781967.675061,3,10.0.0.1505010.0.0.17416506,10.0.0.1,5050,10.0.0.17,41650,6,-1,-1,16,394000000,20,100,0,225103,14857222,14068.9375,0.0005713274111675,928576.375,0.0377086852791878,0
1733781967.675061,3,10.0.0.13505010.0.0.6416501,10.0.0.13,5050,10.0.0.6,41650,1,0,0,36,517000000,20,100,0,35,3430,0.9722222222222222,6.769825918762088e-08,95.27777777777776,6.634429400386847e-06,0
1733781967.675061,3,10.0.0.174165010.0.0.150506,10.0.0.17,41650,10.0.0.1,5050,6,0,0,16,406000000,20,100,0,388403,17196460682,24275.1875,0.0009566576354679,1074778792.625,42.35581448768473,0
1733781967.675061,3,10.0.0.175955110.0.0.1505117,10.0.0.17,59551,10.0.0.1,5051,17,0,0,6,343000000,20,100,0,539,814968,89.83333333333333,1.5714285714285714e-06,135828.0,0.002376,0
1733781967.675061,3,10.0.0.65955110.0.0.1350511,10.0.0.6,59551,10.0.0.13,5051,1,0,8,36,531000000,20,100,0,35,3430,0.9722222222222222,6.591337099811678e-08,95.27777777777776,6.459510357815443e-06,0
1733781967.675149,6,10.0.0.1505010.0.0.17416506,10.0.0.1,5050,10.0.0.17,41650,6,-1,-1,16,377000000,20,100,0,225103,14857222,14068.9375,0.0005970901856763,928576.375,0.0394090769230769,0
1733781967.675149,6,10.0.0.13505010.0.0.17416501,10.0.0.13,5050,10.0.0.17,41650,1,0,0,16,423000000,20,100,0,15,1470,0.9375,3.546099290780142e-08,91.875,3.475177304964539e-06,0
1733781967.675149,6,10.0.0.174165010.0.0.150506,10.0.0.17,41650,10.0.0.1,5050,6,0,0,16,415000000,20,100,0,388400,17196460484,24275.0,0.0009359036144578,1074778780.25,41.43725417831325,0
1733781967.675149,6,10.0.0.175955110.0.0.1505117,10.0.0.17,59551,10.0.0.1,5051,17,0,0,6,356000000,20,100,0,539,814968,89.83333333333333,1.5140449438202249e-06,135828.0,0.0022892359550561,0
1733781967.675149,6,10.0.0.175955110.0.0.1350511,10.0.0.17,59551,10.0.0.13,5051,1,0,8,16,434000000,20,100,0,15,1470,0.9375,3.4562211981566826e-08,91.875,3.3870967741935484e-06,0
1733781967.675229,5,10.0.0.1505010.0.0.17416506,10.0.0.1,5050,10.0.0.17,41650,6,-1,-1,16,387000000,20,100,0,225103,14857222,14068.9375,0.000581661498708,928576.375,0.0383907545219638,0
1733781967.675229,5,10.0.0.13505010.0.0.17416501,10.0.0.13,5050,10.0.0.17,41650,1,0,0,16,426000000,20,100,0,15,1470,0.9375,3.5211267605633804e-08,91.875,3.4507042253521127e-06,0
1733781967.675229,5,10.0.0.13505010.0.0.6416501,10.0.0.13,5050,10.0.0.6,41650,1,0,0,36,522000000,20,100,0,35,3430,0.9722222222222222,6.704980842911879e-08,95.27777777777776,6.57088122605364e-06,0
1733781967.675229,5,10.0.0.174165010.0.0.150506,10.0.0.17,41650,10.0.0.1,5050,6,0,0,16,411000000,20,100,0,388403,17196460682,24275.1875,0.0009450194647201,1074778792.625,41.84053693917275,0
1733781967.675229,5,10.0.0.175955110.0.0.1505117,10.0.0.17,59551,10.0.0.1,5051,17,0,0,6,354000000,20,100,0,539,814968,89.83333333333333,1.5225988700564973e-06,135828.0,0.0023021694915254,0
1733781967.675229,5,10.0.0.175955110.0.0.1350511,10.0.0.17,59551,10.0.0.13,5051,1,0,8,16,430000000,20,100,0,15,1470,0.9375,3.488372093023256e-08,91.875,3.4186046511627902e-06,0
1733781967.675229,5,10.0.0.65955110.0.0.1350511,10.0.0.6,59551,10.0.0.13,5051,1,0,8,36,525000000,20,100,0,35,3430,0.9722222222222222,6.666666666666668e-08,95.27777777777776,6.533333333333333e-06,0
1733781967.67553,2,10.0.0.1505010.0.0.17416506,10.0.0.1,5050,10.0.0.17,41650,6,-1,-1,16,396000000,20,100,0,225103,14857222,14068.9375,0.0005684419191919,928576.375,0.0375182373737373,0
1733781967.67553,2,10.0.0.18010.0.0.6492806,10.0.0.1,80,10.0.0.6,49280,6,-1,-1,16,468000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1733781967.67553,2,10.0.0.18010.0.0.6492946,10.0.0.1,80,10.0.0.6,49294,6,-1,-1,16,452000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1733781967.67553,2,10.0.0.1505110.0.0.64470917,10.0.0.1,5051,10.0.0.6,44709,17,-1,-1,16,485000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1733781967.67553,2,10.0.0.13505110.0.0.6447091,10.0.0.13,5051,10.0.0.6,44709,1,0,0,36,514000000,20,100,0,35,3430,0.9722222222222222,6.809338521400779e-08,95.27777777777776,6.673151750972763e-06,0
1733781967.67553,2,10.0.0.174165010.0.0.150506,10.0.0.17,41650,10.0.0.1,5050,6,0,0,16,405000000,20,100,0,388403,17196460682,24275.1875,0.0009590197530864,1074778792.625,42.46039674567901,0
1733781967.67553,2,10.0.0.175955110.0.0.1505117,10.0.0.17,59551,10.0.0.1,5051,17,0,0,6,346000000,20,100,0,539,814968,89.83333333333333,1.5578034682080923e-06,135828.0,0.0023553988439306,0
1733781967.67553,2,10.0.0.64928010.0.0.1806,10.0.0.6,49280,10.0.0.1,80,6,0,0,16,477000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1733781967.67553,2,10.0.0.64929410.0.0.1806,10.0.0.6,49294,10.0.0.1,80,6,0,0,16,460000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1733781967.67553,2,10.0.0.64470910.0.0.1505117,10.0.0.6,44709,10.0.0.1,5051,17,0,0,26,508000000,20,100,0,894,1351728,34.38461538461539,1.7598425196850394e-06,51989.53846153846,0.0026608818897637,0
1733781967.67553,2,10.0.0.64470910.0.0.1350511,10.0.0.6,44709,10.0.0.13,5051,1,0,8,36,534000000,20,100,0,35,3430,0.9722222222222222,6.554307116104869e-08,95.27777777777776,6.4232209737827714e-06,0
1733781977.675452,4,10.0.0.1505010.0.0.17416506,10.0.0.1,5050,10.0.0.17,41650,6,-1,-1,26,392000000,20,100,0,225103,14857222,8657.807692307691,0.0005742423469387,571431.6153846154,0.0379010765306122,0
1733781977.675452,4,10.0.0.18010.0.0.17515246,10.0.0.1,80,10.0.0.17,51524,6,-1,-1,6,300000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1733781977.675452,4,10.0.0.18010.0.0.17515266,10.0.0.1,80,10.0.0.17,51526,6,-1,-1,6,265000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1733781977.675452,4,10.0.0.1505110.0.0.175955117,10.0.0.1,5051,10.0.0.17,59551,17,-1,-1,6,337000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1733781977.675452,4,10.0.0.13505110.0.0.6595511,10.0.0.13,5051,10.0.0.6,59551,1,0,0,46,521000000,20,100,0,45,4410,0.9782608695652174,8.637236084452976e-08,95.8695652173913,8.464491362763915e-06,0
1733781977.675452,4,10.0.0.16505110.0.0.9595511,10.0.0.16,5051,10.0.0.9,59551,1,0,0,6,195000000,20,100,0,5,490,0.8333333333333334,2.5641025641025643e-08,81.66666666666667,2.512820512820513e-06,0
1733781977.675452,4,10.0.0.174165010.0.0.150506,10.0.0.17,41650,10.0.0.1,5050,6,0,0,26,410000000,20,100,0,388403,17196460682,14938.576923076924,0.0009473243902439,661402333.9230769,41.942587029268296,0
1733781977.675452,4,10.0.0.175152410.0.0.1806,10.0.0.17,51524,10.0.0.1,80,6,0,0,6,318000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1733781977.675452,4,10.0.0.175152610.0.0.1806,10.0.0.17,51526,10.0.0.1,80,6,0,0,6,283000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1733781977.675452,4,10.0.0.175955110.0.0.1505117,10.0.0.17,59551,10.0.0.1,5051,17,0,0,16,354000000,20,100,0,894,1351728,55.875,2.525423728813559e-06,84483.0,0.0038184406779661,0
1733781977.675452,4,10.0.0.65955110.0.0.1350511,10.0.0.6,59551,10.0.0.13,5051,1,0,8,46,530000000,20,100,0,45,4410,0.9782608695652174,8.49056603773585e-08,95.8695652173913,8.320754716981132e-06,0
1733781977.675452,4,10.0.0.95955110.0.0.1650511,10.0.0.9,59551,10.0.0.16,5051,1,0,8,6,221000000,20,100,0,5,490,0.8333333333333334,2.262443438914027e-08,81.66666666666667,2.2171945701357465e-06,0
1733781977.688013,3,10.0.0.1505010.0.0.17416506,10.0.0.1,5050,10.0.0.17,41650,6,-1,-1,26,397000000,20,100,0,225103,14857222,8657.807692307691,0.0005670100755667,571431.6153846154,0.0374237329974811,0
1733781977.688013,3,10.0.0.18010.0.0.17515246,10.0.0.1,80,10.0.0.17,51524,6,-1,-1,6,304000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1733781977.688013,3,10.0.0.18010.0.0.17515266,10.0.0.1,80,10.0.0.17,51526,6,-1,-1,6,268000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
